#{"t_start": 1747647125.4022377, "env_id": "None"}
r,l,t
3.573544,31,2.106962
5.2227497,49,2.26304
3.4269416,51,2.280859
4.895493,51,2.280902
4.1591063,55,2.316225
3.3521302,59,2.351559
3.4397426,62,2.377686
2.6869118,19,2.481822
3.5281727,31,2.551445
4.9801292,90,2.620252
4.9736586,59,2.620299
5.7560797,39,2.620313
3.2738972,52,2.825457
3.3084197,29,2.867554
6.017589,40,2.893883
3.6629033,50,2.911132
7.235453,65,2.911176
2.8374863,79,2.946249
6.0457964,42,2.980613
3.4388618,23,3.111101
4.5622764,58,3.120529
2.503151,22,3.137977
2.515835,28,3.155773
6.6557593,47,3.276087
3.7355587,41,3.336262
2.220809,23,3.336315
8.313155,65,3.388176
4.57183,31,3.421983
10.33922,71,3.505711
2.333912,20,3.505763
6.7354083,48,3.531554
5.8682613,61,3.634307
6.055299,51,3.745939
3.061424,27,3.771704
7.310915,56,3.930071
3.6199484,28,3.981678
6.2585096,68,3.999425
5.6735005,74,3.999472
3.505994,27,3.999485
5.3926725,45,4.051722
6.8692183,66,4.104297
6.8776426,63,4.104351
3.0001638,26,4.206901
3.804033,35,4.230857
2.572642,26,4.273069
5.280805,38,4.324424
2.961692,27,4.333381
4.75289,47,4.400727
2.3277564,23,4.400786
4.1546993,29,4.476793
7.131952,58,4.493889
5.754585,38,4.596585
3.0141253,23,4.596647
3.513145,33,4.605376
3.8909862,62,4.633939
2.68422,20,4.670027
6.7811027,45,4.723716
4.25844,30,4.741662
2.459803,24,4.847486
6.0384564,55,4.881795
4.6852674,32,4.881865
5.3836923,37,4.924426
4.8575325,43,4.98443
3.370612,23,5.080158
3.127287,41,5.097671
4.1516123,25,5.140668
4.0521646,53,5.188528
4.395963,46,5.254056
4.607718,45,5.279839
5.8785343,70,5.288674
2.881732,21,5.332742
2.822965,28,5.439647
2.7781715,23,5.531963
6.468443,51,5.532028
3.437034,36,5.565748
6.2189207,71,5.607463
6.4791827,65,5.667939
4.4793305,51,5.720045
4.8935328,55,5.764265
5.355872,49,5.860296
3.7813368,44,5.913936
3.4656188,27,6.001791
2.47171,23,6.060974
5.0173316,63,6.07793
5.169511,48,6.086911
4.325656,62,6.146844
6.1775317,53,6.181833
4.4428773,72,6.190795
2.6508534,25,6.216424
2.540957,24,6.268042
7.094261,45,6.301937
3.8263326,28,6.388117
4.2179656,40,6.424158
6.13154,48,6.497581
4.1671357,40,6.521825
4.521176,32,6.57137
3.1515055,32,6.683206
3.9734323,37,6.69123
4.8714995,53,6.707326
7.6166472,67,6.747597
3.882364,40,6.892007
6.8948946,59,6.974347
3.7340465,106,7.08993
3.5563164,51,7.098483
4.831501,52,7.118002
