#{"t_start": 1747809037.366212, "env_id": "None"}
r,l,t
-10.281109,41,1.731001
-1.3048875,61,1.916939
-1.2524219,65,1.959502
-3.8763413,78,2.091729
-2.33073,81,2.123341
-0.17805691,89,2.200802
23.569328,107,2.381863
-9.012716,108,2.392627
-7.9201827,91,2.635162
-6.0919,57,2.772541
-5.693962,53,2.928722
-1.717135,83,2.937225
16.071648,97,2.949393
1.7713733,84,2.979718
-2.8456717,108,3.015743
-7.972393,50,3.284293
2.0750089,37,3.316494
-1.9798523,95,3.593011
-2.895923,28,3.593065
-1.0762962,74,3.67355
-5.9718413,128,3.682631
-2.5557551,46,3.749375
-0.7813756,91,3.932712
1.7765627,45,4.39545
-11.87283,147,4.415283
-1.4945904,77,4.461936
2.0785065,86,4.471197
-9.552385,96,4.561992
-11.1817255,107,4.824495
4.7435894,114,4.833075
-7.775136,200,4.980624
-2.012153,67,5.067738
-7.5993114,70,5.159311
-8.654062,33,5.159379
-1.6971774,74,5.191653
1.5721619,107,5.474028
-1.1109444,101,5.601389
-3.5644405,71,5.925881
-6.3022833,80,5.925961
16.867592,97,6.015345
-4.544861,91,6.175915
-13.522161,94,6.175988
-3.491949,53,6.176005
-6.406307,32,6.275779
-5.853689,36,6.410347
15.12376,157,6.495911
-5.758717,30,6.51134
-4.438389,65,6.650229
-1.3201864,49,6.735388
-5.1781135,119,6.782698
-4.237516,54,6.782771
-6.83354,62,7.184581
-10.087782,41,7.221535
-7.5793133,70,7.265731
-7.675764,99,7.36425
-9.302451,80,7.513644
-6.4024467,78,7.567625
9.298294,77,7.617026
-1.8840374,48,7.750734
-1.8862033,56,7.88374
-4.969451,58,8.002258
-2.4923747,79,8.057603
-5.043043,50,8.066595
-7.449398,54,8.20469
-5.848781,72,8.359059
-4.6870956,179,8.369345
-0.59133935,53,8.577107
-1.5256656,78,8.598489
-3.0923588,42,8.66407
-9.007071,60,8.720185
3.510603,60,9.00853
-10.61059,40,9.032377
-9.492121,63,9.053654
10.899014,93,9.063489
-6.003773,49,9.102335
-0.39241576,41,9.157019
0.45841527,46,9.157111
-17.24965,132,9.309748
-9.671052,62,9.775918
4.527751,69,9.775993
-4.573037,44,9.785799
-11.188843,70,9.812433
-10.708994,69,9.912836
-13.767258,102,10.174558
-0.737133,111,10.220172
-11.915436,40,10.252383
-4.406118,48,10.309212
-13.087992,105,10.309342
-11.146102,50,10.719011
-2.4010077,84,10.825545
0.95776653,54,10.833989
-1.5753558,98,10.846487
-2.223918,64,10.985214
-4.4383774,50,11.246774
-3.4813702,43,11.284325
-7.8133144,93,11.295687
-8.506964,104,11.326795
-16.602278,55,11.394803
-21.354866,159,11.48435
-5.364452,48,11.484426
-9.754276,44,11.69071
-9.199748,29,11.690788
-5.6056786,45,11.786316
-24.686602,100,11.883799
-8.0769205,42,11.937312
-11.089509,63,11.951961
-9.237658,51,12.046719
1.3613325,45,12.192653
-10.911345,43,12.393332
-8.689825,42,12.424726
-8.797252,43,12.4441
-23.409803,110,12.498006
-3.3529298,63,12.509817
-10.8171,59,12.696493
-3.7969055,44,12.879725
-9.509415,34,12.879811
0.029290816,44,12.997501
-12.060004,117,13.009799
-9.726864,73,13.018943
-9.03748,30,13.042773
-9.245528,31,13.215087
8.653306,76,13.279303
-2.5598238,80,13.300501
-9.246239,49,13.416565
-9.4301405,46,13.515807
-11.4791,48,13.572841
-9.617348,52,13.85661
-17.721445,97,14.058814
-3.710397,51,14.070156
-8.314002,47,14.080602
-20.469088,110,14.214582
-13.061781,78,14.258558
-8.60184,50,14.382533
-20.526562,111,14.414608
-20.39611,108,14.463929
-11.043212,47,14.552308
-9.66021,58,14.652114
-6.9568157,63,14.725494
-2.708801,52,14.74591
-14.42886,50,14.765816
-4.7884393,43,14.852703
-10.5908985,43,14.909649
-11.499113,54,14.943915
-10.4538145,40,15.085595
-10.318762,45,15.219837
-5.4909673,38,15.275308
-9.896554,51,15.310745
-6.5980577,49,15.310841
-8.034301,79,15.401095
-4.9548526,28,15.568997
-10.122152,57,15.699527
-21.445978,92,15.898679
0.79756224,64,15.89875
-17.399914,90,15.910756
-6.0456986,42,16.01782
-6.7324247,71,16.063846
10.647213,74,16.093647
-2.1008391,37,16.434765
1.3821189,103,16.526034
-11.140284,59,16.554703
-13.579244,64,16.614359
-4.6576786,51,16.6523
-11.094582,58,16.692787
-15.138214,73,16.692851
-9.864232,40,16.849155
6.159392,111,16.887043
-5.5936317,35,17.012961
4.8480673,49,17.050051
-9.286266,35,17.251544
-5.8522263,64,17.364112
