#{"t_start": 1748053850.8665836, "env_id": "None"}
r,l,t
24.883995,78,2.833663
45.377197,233,6.772511
216.05913,1000,26.729912
356.82248,1000,26.730059
342.23123,1000,26.730113
315.48093,1000,26.730151
197.49332,1000,26.730186
246.34314,1000,26.730221
273.8509,1000,28.803549
27.98139,101,29.395721
72.511246,201,31.946507
-4.6010957,1,31.972526
287.10214,1000,32.786062
37.80258,135,32.862487
197.87352,1000,52.892553
173.43407,1000,52.892696
182.00618,1000,52.89274
175.79544,1000,52.892772
181.91884,1000,54.882083
72.34003,192,57.781443
76.43431,201,58.01604
309.82376,1000,58.04143
31.853518,143,58.5395
232.99199,1000,58.855483
186.79958,1000,58.926997
11.459134,114,60.682027
49.104336,245,64.333241
232.0604,1000,79.035513
172.28998,1000,79.036081
52.834404,181,83.833688
199.07323,1000,84.367265
-4.612045,1,84.391981
149.20178,1000,84.853369
157.1641,1000,85.172824
217.59729,1000,85.254172
211.72395,1000,87.11731
45.716816,243,90.231588
205.16122,1000,90.794654
81.50131,290,92.036944
186.49089,1000,105.13828
227.38867,1000,110.88465
151.40833,1000,111.209854
-4.6120715,1,111.237537
336.19067,1000,111.289515
-4.616428,1,111.316227
189.93056,1000,113.141179
163.2851,1000,116.265284
249.77791,1000,116.835292
273.49673,1000,118.070053
109.54623,291,124.496348
207.9271,1000,131.400567
258.58572,1000,137.108262
254.55693,1000,137.425284
233.45377,1000,137.502154
299.2835,1000,139.36761
190.86401,1000,142.495956
176.2037,1000,144.257808
20.308321,107,145.241758
120.34317,460,149.166637
-4.6131387,1,149.191222
-4.684126,1,149.218154
-4.6036754,1,149.242796
186.00853,1000,150.622275
7.693783,56,150.698992
190.90115,1000,157.461459
26.351002,92,159.846047
-4.638491,1,159.870808
306.8825,1000,163.52878
316.8147,1000,163.606287
158.69057,1000,165.401587
238.19867,1000,170.323093
189.59073,1000,171.353744
145.68932,1000,176.734098
265.2237,1000,176.807063
186.50653,1000,186.157947
15.305984,138,189.866991
-4.6053905,1,189.893294
144.57626,1000,189.942963
-4.6231465,1,189.967475
251.04706,1000,190.020984
236.96239,1000,191.860404
283.17047,1000,196.946482
195.0115,1000,197.953373
8.783561,132,200.402851
189.44948,1000,203.37167
0.39899358,1,203.398859
-4.607006,1,203.4259
306.53757,1000,203.453048
-4.609546,1,203.47518
71.52366,206,208.888798
201.89908,1000,216.607825
318.96414,1000,216.684738
-4.674543,1,216.712565
272.65506,1000,216.741067
207.03838,1000,218.601662
31.411222,105,221.300933
270.82553,1000,224.392809
-4.6370964,1,224.418907
37.029305,210,226.849531
260.35797,1000,226.945983
237.94823,1000,229.941454
191.08994,1000,235.445236
244.07483,1000,243.068904
223.87137,1000,243.178381
244.0495,1000,243.207829
286.314,1000,251.462172
306.519,1000,253.915182
223.88763,1000,254.023152
27.921085,171,256.194701
0.35710752,1,256.223477
182.10693,1000,257.206607
229.79778,1000,263.105738
-4.6101413,1,263.134937
253.19576,1000,271.466047
167.24387,1000,271.580618
286.18292,1000,271.610838
-2.9400547,6,271.641786
315.2324,1000,282.121253
287.75775,1000,282.223952
173.03014,1000,284.290138
275.39548,1000,285.221674
0.3889033,1,285.248839
181.26788,1000,290.899486
252.85092,1000,298.990745
212.96283,1000,299.017502
260.16208,1000,299.045322
278.57187,1000,309.454887
-4.617921,1,309.480481
121.81765,1000,309.563698
508.853,1000,311.688321
305.78793,1000,312.601149
376.12625,1000,318.159484
220.05035,1000,325.677107
258.94366,1000,325.703187
179.86632,1000,325.731587
244.52313,1000,335.974637
128.44865,1000,336.050798
238.61703,1000,338.169452
272.6732,1000,339.10163
321.20227,1000,344.674766
31.850096,85,346.954916
180.3576,1000,352.260917
174.81248,1000,352.28828
276.52463,1000,352.315469
-4.6017275,1,352.342258
-4.6132717,1,352.367284
236.3997,1000,362.485536
146.46692,1000,362.572417
268.754,1000,364.711858
252.32428,1000,365.695926
-4.65183,1,365.723161
27.435907,145,368.602058
89.92383,232,368.804152
31.491663,125,372.168264
0.37357923,1,372.196512
271.1849,1000,373.573321
298.676,1000,379.066565
314.19763,1000,379.093861
-4.616177,1,379.121326
-4.6033416,1,379.14692
178.51468,1000,379.174317
298.88177,1000,389.473517
264.2665,1000,392.675946
-4.6035695,1,392.702721
-4.621731,1,392.731845
312.29825,1000,395.554396
159.61584,1000,399.140057
271.68335,1000,400.51464
78.60614,215,401.310605
234.80124,1000,405.93956
345.6811,1000,406.025121
229.17966,1000,406.050992
94.212006,225,412.014995
368.7255,1000,416.331049
180.54291,1000,419.686118
291.09158,1000,426.338388
328.37167,1000,427.718741
350.61563,1000,428.496126
294.50446,1000,433.041465
316.80933,1000,433.07031
